Sigla;Nome
AD;Advice
AR;Arts
AU;Automobile
BA;Business and finance
CA;Comedy and humor
CB;Comic book
CR;Crime
ED;Educational
FE;Feminist
FA;Film and television
HI;History
HO;Horror
IN;Interview
LA;Law
LG;LGBT-related
MU;Music
PH;Philosophy
PO;Political
RA;Religion and spirituality
SF;Science fiction
SC;Science
SP;Sports
TA;Talk
TE;Technology
VG;Video game
JM;Jesus music
RG;Rare groove
CO;Concerto
SE;Seis
DS;Dirty south
LL;La la
KW;Khplam wai
KH;Khyal
MD;Music drama
IR;Industrial rock
SR;Stoner rock
PB;Progressive bluegrass
ML;Mor lam
GU;Gunchei
SM;Swing music
HP;Horror punk
GB;Gamelan bebonangan
SH;Shoegaze
OM;Outsider music
PS;Praise song
GO;Go-go
KA;Kaseko
AN;Ars nova
WA;Waltz
MS;Mexican son
